"","farm_id","name","address","latitude","longitude","area"
"1","aab","남원농가","제주특별자치도 서귀포시 남원읍 신흥리 841-1","33.301765","126.751244","2500"
"2","bab","귤낭밭농원","제주특별자치도 제주시 화북이동 5489-2","33.322098","126.755608","3200"
"3","cab","봉아름농장","제주특별자치도 제주시 회천동 2684","33.494034","126.554565","7800"
"4","dab","규리네농원","제주특별자치도 제주시 조천읍 신촌리 216","33.515385","126.605324","3000"
"5","eab","대포동농가","제주특별자치도 서귀포시 대포동 270","33.354404","126.853226","3200"
"6","fab","망골과수원","제주특별자치도 서귀포시 하원동 1286-1","33.504074","126.598412","965"
"7","gab","신촌농가","제주특별자치도 서귀포시 하예동 1029-1","33.513592","126.631851","1540"
"8","hab","산들파머","제주특별자치도 서귀포시 남원읍 신흥리 519","33.278969","126.367989","2350"
"9","iab","봉봉팜스","제주특별자치도 제주시 조천읍 대흘리 2778-4","33.325153","126.743500","426000"
"10","jab","안덕면농가","제주특별자치도 서귀포시 안덕면 덕수리 2716","33.271568","126.614944","3400"
"11","kab","부부농장","제주특별자치도 서귀포시 성산읍 신천리 657-1","33.334724","126.826057","3600"
"12","lab","상효농가","제주특별자치도 서귀포시 신효동 275-1","33.278427","126.615036","787"
"13","mab","무기명농가","제주특별자치도 서귀포시 대포동 1045-1","33.267723","126.448456","2900"
"14","nab","무기명농가","제주특별자치도 서귀포시 남원읍 수망리 179-1","33.248470","126.446114","1940"
"15","oab","은혜농장","제주특별자치도 서귀포시 남원읍 신례리 883-2","33.257206","126.455849","2400"
"16","pab","훈이농장","제주특별자치도 서귀포시 남원읍 신례리 1702","33.242012","126.380173","3500"
"17","qab","무기명농가","제주특별자치도 서귀포시 남원읍 수망리 242","33.327492","126.721321","2240"
"18","rab","온새미농장","제주특별자치도 서귀포시 중문동 906","33.313972","126.762779","7620"
"19","sab","창조","제주특별자치도 서귀포시 회수동 234-1","33.299995","126.629791","9800"
"20","tab","효우농장","제주특별자치도 서귀포시 성산읍 신천리 758-1","33.435211","126.344612","8044"
"21","uab","돌코랑농장","제주특별자치도 서귀포시 남원읍 태흥리 185-1","33.337627","126.610199","5000"
"22","vab","퐁낭농원","제주특별자치도 제주시 삼양일동 415","33.506042","126.642448","6200"
"23","wab","남원농가","제주특별자치도 서귀포시 안덕면 상창리 371-2","33.326878","126.713615","1300"
"24","xab","세븐농원","제주특별자치도 서귀포시 남원읍 신흥리 1799","33.310963","126.726318","11600"
"25","yab","감귤정원","제주특별자치도 서귀포시 표선면 표선리 1844-1","33.236855","126.376244","1120"
"26","zab","샛별한라봉농장","제주특별자치도 서귀포시 상효동 11-1","33.306034","126.658089","5300"
"27","abb","달빛가애 농장","제주특별자치도 제주시 애월읍 상가리 산11-4","33.263222","126.301018","9000"
"28","bbb","현우네 감귤","제주특별자치도 서귀포시 남원읍 의귀리 403","33.267059","126.433563","10000"
"29","cbb","난드르해수","제주특별자치도 서귀포시 하예동 1645","33.271103","126.446640","9850"
"30","dbb","위미 4225","제주특별자치도 서귀포시 남원읍 위미리 4225","33.355137","126.848625","2500"
